time	V(vo)	I(Ro)
7.712944663573057e-06	2.401826e+01	4.288976e-01
8.192944663573676e-06	2.399769e+01	4.285301e-01
8.672944663574295e-06	2.397713e+01	4.281630e-01
9.152944663574913e-06	2.395658e+01	4.277961e-01
9.392944663575223e-06	2.394632e+01	4.276128e-01
9.632944663575532e-06	2.393606e+01	4.274296e-01
9.760000000016630e-06	2.393063e+01	4.273326e-01
9.761000000016104e-06	2.393058e+01	4.273318e-01
9.763000000016786e-06	2.393050e+01	4.273303e-01
9.766468301792772e-06	2.393035e+01	4.273277e-01
9.769783071541388e-06	2.393021e+01	4.273252e-01
9.776412611036886e-06	2.392992e+01	4.273201e-01
9.789671690027882e-06	2.392936e+01	4.273100e-01
9.816189848011608e-06	2.392822e+01	4.272897e-01
9.869226163977327e-06	2.392596e+01	4.272493e-01
9.893927368083769e-06	2.392490e+01	4.272304e-01
9.943329776296653e-06	2.392279e+01	4.271927e-01
9.944329776296126e-06	2.392275e+01	4.271920e-01
9.946329776296808e-06	2.392266e+01	4.271905e-01
9.950329776296438e-06	2.392249e+01	4.271874e-01
9.955689421071306e-06	2.392227e+01	4.271833e-01
9.966408710621044e-06	2.392181e+01	4.271751e-01
9.978561420917464e-06	2.392129e+01	4.271659e-01
9.979561420916938e-06	2.392125e+01	4.271651e-01
9.981561420917620e-06	2.392116e+01	4.271636e-01
9.985561420917249e-06	2.392099e+01	4.271605e-01
9.991041387800298e-06	2.392076e+01	4.271563e-01
9.992041387799772e-06	2.392071e+01	4.271556e-01
9.994041387800454e-06	2.392063e+01	4.271541e-01
9.996000000017310e-06	2.392054e+01	4.271526e-01
9.996082775583226e-06	2.392054e+01	4.271525e-01
9.996248326715057e-06	2.392053e+01	4.271524e-01
9.996579428978719e-06	2.392052e+01	4.271521e-01
9.996914656794711e-06	2.392050e+01	4.271519e-01
9.997585112426696e-06	2.392048e+01	4.271514e-01
9.998568690633425e-06	2.392043e+01	4.271506e-01
9.999000000017466e-06	2.392042e+01	4.271503e-01
9.999137381248857e-06	2.392041e+01	4.271502e-01
9.999412143711639e-06	2.392040e+01	4.271500e-01
9.999450475091376e-06	2.392040e+01	4.271499e-01
9.999527137850850e-06	2.392039e+01	4.271499e-01
9.999680463369798e-06	2.392039e+01	4.271497e-01
9.999806207543552e-06	2.392038e+01	4.271497e-01
1.000000000001694e-05	2.392037e+01	4.271495e-01
1.000000238207850e-05	2.392037e+01	4.271495e-01
1.000000714619989e-05	2.392037e+01	4.271495e-01
1.000001667444267e-05	2.392037e+01	4.271495e-01
1.000003286294286e-05	2.392037e+01	4.271495e-01
1.000006523994498e-05	2.392037e+01	4.271494e-01
1.000012999394922e-05	2.392037e+01	4.271494e-01
1.000025950195597e-05	2.392036e+01	4.271493e-01
1.000042220934867e-05	2.392035e+01	4.271492e-01
1.000059467724974e-05	2.392035e+01	4.271491e-01
1.000075936353172e-05	2.392034e+01	4.271489e-01
1.000100000001641e-05	2.392033e+01	4.271488e-01
1.000102406366506e-05	2.392033e+01	4.271487e-01
1.000107219096234e-05	2.392033e+01	4.271487e-01
1.000116844555692e-05	2.392032e+01	4.271486e-01
1.000136095474433e-05	2.392031e+01	4.271485e-01
1.000172201535802e-05	2.392030e+01	4.271482e-01
1.000207508724572e-05	2.392028e+01	4.271479e-01
1.000256725352394e-05	2.392026e+01	4.271475e-01
1.000283928903091e-05	2.392025e+01	4.271473e-01
1.000299329713926e-05	2.392024e+01	4.271472e-01
1.000313719463387e-05	2.392024e+01	4.271471e-01
1.000328076482780e-05	2.392023e+01	4.271470e-01
1.000348642045401e-05	2.392022e+01	4.271469e-01
1.000387693244655e-05	2.392021e+01	4.271466e-01
1.000444256329253e-05	2.392018e+01	4.271461e-01
1.000505661242351e-05	2.392016e+01	4.271457e-01
1.000569624056910e-05	2.392013e+01	4.271452e-01
1.000637878325987e-05	2.392010e+01	4.271446e-01
1.000699821410156e-05	2.392007e+01	4.271442e-01
1.000747258931949e-05	2.392005e+01	4.271438e-01
1.000782855147681e-05	2.392004e+01	4.271435e-01
1.000823490281827e-05	2.392002e+01	4.271432e-01
1.000859649112791e-05	2.392001e+01	4.271429e-01
1.000899431195801e-05	2.391999e+01	4.271426e-01
1.000978995361820e-05	2.391995e+01	4.271421e-01
1.001094023807790e-05	2.391990e+01	4.271412e-01
1.001302835680964e-05	2.391982e+01	4.271396e-01
1.001505061190393e-05	2.391973e+01	4.271380e-01
1.001651750481662e-05	2.391967e+01	4.271369e-01
1.001773564210384e-05	2.391961e+01	4.271360e-01
1.001848988961725e-05	2.391958e+01	4.271354e-01
1.001894961135882e-05	2.391956e+01	4.271351e-01
1.001926281068294e-05	2.391955e+01	4.271348e-01
1.001959410628847e-05	2.391953e+01	4.271346e-01
1.001986970013830e-05	2.391952e+01	4.271344e-01
1.002021757287239e-05	2.391951e+01	4.271341e-01
1.002057207392416e-05	2.391949e+01	4.271338e-01
1.002080090215483e-05	2.391948e+01	4.271336e-01
1.002110681238427e-05	2.391947e+01	4.271334e-01
1.002127460361137e-05	2.391946e+01	4.271333e-01
1.002138576042082e-05	2.391946e+01	4.271332e-01
1.002154924358706e-05	2.391945e+01	4.271331e-01
1.002167372073613e-05	2.391945e+01	4.271330e-01
1.002183264086839e-05	2.391944e+01	4.271328e-01
1.002202171069416e-05	2.391943e+01	4.271327e-01
1.002219987546876e-05	2.391942e+01	4.271326e-01
1.002255620501796e-05	2.391941e+01	4.271323e-01
1.002304134010111e-05	2.391939e+01	4.271319e-01
1.002386586994135e-05	2.391935e+01	4.271313e-01
1.002472172837929e-05	2.391932e+01	4.271306e-01
1.002600715450594e-05	2.391926e+01	4.271297e-01
1.002728253040285e-05	2.391921e+01	4.271287e-01
1.002909545678478e-05	2.391913e+01	4.271273e-01
1.003099954941834e-05	2.391905e+01	4.271259e-01
1.003348140199943e-05	2.391894e+01	4.271240e-01
