x-axis,4,MATH
second,Volt,Volt
-800.00E-09,+4.81250000000E+00,+468.75000000E-03
-750.00E-09,+4.81250000000E+00,+468.75000000E-03
-700.00E-09,+4.81250000000E+00,+468.75000000E-03
-650.00E-09,+4.65625000000E+00,+312.50000000E-03
-600.00E-09,+4.81250000000E+00,+468.75000000E-03
-550.00E-09,+4.81250000000E+00,+468.75000000E-03
-500.00E-09,+4.81250000000E+00,+468.75000000E-03
-450.00E-09,+4.81250000000E+00,+312.50000000E-03
-400.00E-09,+4.81250000000E+00,+312.50000000E-03
-350.00E-09,+4.81250000000E+00,+468.75000000E-03
-300.00E-09,+4.81250000000E+00,+312.50000000E-03
-250.00E-09,+4.65625000000E+00,+468.75000000E-03
-200.00E-09,+4.81250000000E+00,+312.50000000E-03
-150.00E-09,+4.81250000000E+00,+468.75000000E-03
-100.00E-09,+4.81250000000E+00,+468.75000000E-03
-50.00E-09,+4.65625000000E+00,+468.75000000E-03
-0.0E+00,+1.21875000000E+00,+312.50000000E-03
+50.00E-09,-187.50000000E-03,+312.50000000E-03
+100.00E-09,-187.50000000E-03,+312.50000000E-03
+150.00E-09,-31.25000000E-03,+312.50000000E-03
+200.00E-09,-187.50000000E-03,+468.75000000E-03
+250.00E-09,-31.25000000E-03,+312.50000000E-03
+300.00E-09,-187.50000000E-03,+156.25000000E-03
+350.00E-09,-187.50000000E-03,+156.25000000E-03
+400.00E-09,-187.50000000E-03,+156.25000000E-03
+450.00E-09,-187.50000000E-03,+156.25000000E-03
+500.00E-09,-187.50000000E-03,+0.0E+00
+550.00E-09,-187.50000000E-03,+0.0E+00
+600.00E-09,-187.50000000E-03,+156.25000000E-03
+650.00E-09,-31.25000000E-03,+156.25000000E-03
+700.00E-09,-187.50000000E-03,+156.25000000E-03
+750.00E-09,-187.50000000E-03,+156.25000000E-03
+800.00E-09,-31.25000000E-03,+312.50000000E-03
+850.00E-09,-187.50000000E-03,+312.50000000E-03
+900.00E-09,-187.50000000E-03,+312.50000000E-03
+950.00E-09,-31.25000000E-03,+468.75000000E-03
+1.00000E-06,-187.50000000E-03,+312.50000000E-03
+1.05000E-06,-31.25000000E-03,+625.00000000E-03
+1.10000E-06,-31.25000000E-03,+781.25000000E-03
+1.15000E-06,-187.50000000E-03,+1.09375000000E+00
+1.20000E-06,-187.50000000E-03,+1.25000000000E+00
+1.25000E-06,-187.50000000E-03,+1.25000000000E+00
+1.30000E-06,-187.50000000E-03,+1.25000000000E+00
+1.35000E-06,-31.25000000E-03,+1.09375000000E+00
+1.40000E-06,-187.50000000E-03,+781.25000000E-03
+1.45000E-06,-187.50000000E-03,+625.00000000E-03
+1.50000E-06,-187.50000000E-03,+468.75000000E-03
+1.55000E-06,-187.50000000E-03,+312.50000000E-03
+1.60000E-06,-187.50000000E-03,+468.75000000E-03
+1.65000E-06,-31.25000000E-03,+468.75000000E-03
+1.70000E-06,-187.50000000E-03,+468.75000000E-03
+1.75000E-06,-187.50000000E-03,+312.50000000E-03
+1.80000E-06,-343.75000000E-03,+468.75000000E-03
+1.85000E-06,-31.25000000E-03,+468.75000000E-03
+1.90000E-06,-187.50000000E-03,+312.50000000E-03
+1.95000E-06,-187.50000000E-03,+312.50000000E-03
+2.00000E-06,-343.75000000E-03,+312.50000000E-03
+2.05000E-06,-187.50000000E-03,+468.75000000E-03
+2.10000E-06,-187.50000000E-03,+468.75000000E-03
+2.15000E-06,-31.25000000E-03,+468.75000000E-03
+2.20000E-06,-343.75000000E-03,-156.25000000E-03
+2.25000E-06,-31.25000000E-03,-468.75000000E-03
